                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 0.6997,                0.60006,                 1.1773,                  0.629,                0.59485,                0.65897,                0.54853,                    nan,                    nan,                    nan,             0.00063603,             0.00063603,             0.00063603
                     93,                0.67706,                0.57973,                 1.1639,                0.68099,                0.62993,                0.67506,                0.56155,                    nan,                    nan,                    nan,             0.00063303,             0.00063303,             0.00063303
                     94,                0.68976,                0.57885,                 1.1733,                0.64944,                 0.6278,                 0.6586,                 0.5361,                    nan,                    nan,                    nan,             0.00063003,             0.00063003,             0.00063003
                     95,                0.68515,                0.57094,                 1.1655,                0.69745,                0.59075,                0.67954,                0.56487,                    nan,                    nan,                    nan,             0.00062703,             0.00062703,             0.00062703
                     96,                0.67717,                0.56793,                 1.1646,                0.60116,                0.68586,                0.62333,                 0.5151,                    nan,                    nan,                    nan,             0.00062403,             0.00062403,             0.00062403
                     97,                0.69967,                 0.5849,                 1.1721,                0.67794,                0.64339,                0.70291,                0.58711,                    nan,                    nan,                    nan,             0.00062103,             0.00062103,             0.00062103
                     98,                0.66521,                0.56597,                 1.1509,                0.65112,                 0.6078,                0.65694,                0.55079,                    nan,                    nan,                    nan,             0.00061803,             0.00061803,             0.00061803
                     99,                0.67878,                0.55649,                 1.1635,                0.62765,                0.62048,                0.64655,                0.53403,                    nan,                    nan,                    nan,             0.00061503,             0.00061503,             0.00061503
                    100,                0.69177,                0.58845,                 1.1762,                 0.6555,                0.62086,                0.63146,                0.52646,                    nan,                    nan,                    nan,             0.00061203,             0.00061203,             0.00061203
                    101,                0.67626,                0.57432,                 1.1635,                0.66121,                0.60934,                0.66999,                0.55639,                    nan,                    nan,                    nan,             0.00060903,             0.00060903,             0.00060903
                    102,                0.66546,                0.56228,                 1.1529,                0.71093,                0.61427,                0.68747,                0.57043,                    nan,                    nan,                    nan,             0.00060603,             0.00060603,             0.00060603
                    103,                0.66602,                0.54891,                   1.16,                0.58424,                0.64229,                0.64008,                0.53258,                    nan,                    nan,                    nan,             0.00060303,             0.00060303,             0.00060303
                    104,                0.66631,                0.56637,                 1.1604,                0.64364,                0.62488,                0.66064,                0.54214,                    nan,                    nan,                    nan,             0.00060003,             0.00060003,             0.00060003
                    105,                0.67205,                0.55893,                 1.1523,                0.56093,                 0.6221,                0.59195,                0.48322,                    nan,                    nan,                    nan,             0.00059703,             0.00059703,             0.00059703
